NAME OF THE COMPANY,,"PAY PACKAGE 
 (Rs. in lakhs p.a.)",BOND,BOND VALUE,NO. PLACED,p_t_id,year,,
BAJAJ AUTO, PUNE,0,NO,NO,0,2,2016,,
DIRECTI, MUMBAI,14.32,NO,NO,0,2,2016,,
VISA INC, BANGALORE,19.5,NO,NO,0,2,2016,,
INTUIT, B'LORE,0,NO,NO,0,2,2016,,
SAMSUNG R&D, B'LORE,16,NO,NO,0,2,2016,,
MORGAN STANLEY, MUMBAI,13.98,NO,NO,3,2,2016,,
TEXAS INSTRUMENTS, B'LORE,14.5,NO,NO,0,2,2016,,
GOLDMAN SACHES, B'LORE,0,NO,NO,0,2,2016,,
CISCO, B'LORE,15.09,NO,NO,4,2,2016,,
DELL R&D, B'LORE,10.2,NO,NO,17,2,2016,,
QUALCOMM, B'LORE,15.03,NO,NO,1,2,2016,,
ROVI CORPORATION,,15.15,NO,NO,1,2,2016,,
NETAPP, B'LORE,14.14,NO,NO,0,2,2016,,
INFOSYS, B'LORE,17,NO,NO,0,2,2016,,
MARUTI SUZUKI, N DELHI,0,NO,NO,0,2,2016,,
ORACLE, B'LORE,10,NO,NO,12,2,2016,,
WOOQER S.W, B'LORE,13.08,NO,NO,0,2,2016,,
AMERICAN EXPRESS,,8.99,NO,NO,2,2,2016,,
SANDISK, B'LORE,12.52,NO,NO,1,2,2016,,
AVAYA INDIA, B'LORE,13.4,NO,NO,2,2,2016,,
EDGE VERVE, B'LORE,0,NO,NO,0,2,2016,,
CAPITAL ONE, B'LORE,11.98,NO,NO,0,2,2016,,
THOROGOOD, B'LORE,11,NO,NO,0,2,2016,,
FIDELITY, B'LORE,0,NO,NO,0,2,2016,,
QUIKR.COM,,0,NO,NO,0,2,2016,,
ARYAKA NETWORKS, B'LORE,7,NO,NO,2,2,2016,,
GROFERS INDIA, B'LORE,0,NO,NO,0,2,2016,,
SANDVINE TECH, B'LORE,9,1 YEAR,NO,2,2,2016,,
CARWALE.COM,,0,NO,NO,0,2,2016,,
COUPAN DUNIA,,13,NO,NO,0,2,2016,,
H U L, MUMBAI,,NO,NO,0,2,2016,,
DE SHAW, HYDERABAD,0,NO,NO,0,2,2016,,
CREDIT SUISSE, MUMBAI,0,NO,NO,0,2,2016,,
J P MORGAN, MUMBAI,0,NO,NO,0,2,2016,,
T V S MOTOR,,0,NO,NO,0,2,2016,,
FUTURES FIRST, B'LORE,9.2,NO,NO,0,2,2016,,
NATIONAL INSTRUMENTS, B'LORE,10.97,NO,NO,1,2,2016,,
Z S ASSOCIATES, PUNE,0,NO,NO,0,2,2016,,
ITTIAM SYSTEMS, B'LORE,9.1,NO,NO,2,2,2016,,
DR REDDYS LAB, HYDERABAD,0,NO,NO,0,2,2016,,
RIVERBED TECH, B'LORE,12.9,NO,NO,2,2,2016,,
IBM INDIA-ISDL, B'LORE,12,NO,NO,11,2,2016,,
MU-SIGMA, B'LORE,0,NO,NO,0,2,2016,,
DIEBOLD SYSTEMS, MUMBAI,0,NO,NO,0,2,2016,,
AMADEUS S.W, B'LORE,0,NO,NO,0,2,2016,,
SWIGGY (BUNDL TECH PVT LTD),,14,NO,NO,0,2,2016,,
CITICORP SERVICES,,13,NO,NO,6,2,2016,,
RELIANCE INDS., MUMBAI,0,NO,NO,0,2,2016,,
ROYAL BANK OF SCOTLAND,,0,NO,NO,0,2,2016,,
PHILIPS INNOVATION , B'LORE,0,NO,NO,0,2,2016,,
CYPRESS SEMICONDUCTOR, B'LORE,10.64,NO,NO,2,2,2016,,
CLICK LABS,,0,NO,NO,0,2,2016,,
TCS DIGITAL, B'LORE,6.88,NO,NO,1,2,2016,,
ROBERT BOSCH, B'LORE,0,NO,NO,2,2,2016,,
SIGMOID ANALYTICS, B'LORE,8,NO,NO,0,2,2016,,
SABRE, B'LORE,0,NO,NO,0,2,2016,,
WIPRO TECH, B'LORE,0,NO,NO,0,2,2016,,
VERITY KNOWLEDGE, HYD,5.57,NO,NO,0,2,2016,,
URBAN ONLINE,,7,NO,NO,0,2,2016,,
